location_id,location_name,country,city,source_url,last_verified
77373f08-cc75-ef11-a2cb-00155d119747,Jurf 1,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
79373f08-cc75-ef11-a2cb-00155d119747,Rumaila 2,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
7d373f08-cc75-ef11-a2cb-00155d119747,Rashideya 1,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
7f373f08-cc75-ef11-a2cb-00155d119747,Al Zahya,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
81373f08-cc75-ef11-a2cb-00155d119747,Rashideya 3,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
83373f08-cc75-ef11-a2cb-00155d119747,Rumaila 1,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
85373f08-cc75-ef11-a2cb-00155d119747,Liwara 1,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
87373f08-cc75-ef11-a2cb-00155d119747,Nakheel 1,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
89373f08-cc75-ef11-a2cb-00155d119747,Nakheel 2,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
8e373f08-cc75-ef11-a2cb-00155d119747,Jurf 2,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
90373f08-cc75-ef11-a2cb-00155d119747,Humaideya 2,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
92373f08-cc75-ef11-a2cb-00155d119747,Nuaimeya 3,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
94373f08-cc75-ef11-a2cb-00155d119747,Humaideya 1,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
96373f08-cc75-ef11-a2cb-00155d119747,jurf Industrial 2,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
98373f08-cc75-ef11-a2cb-00155d119747,Manama 15,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
9a373f08-cc75-ef11-a2cb-00155d119747,Manama 16,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
9c373f08-cc75-ef11-a2cb-00155d119747,Manama 7,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
9e373f08-cc75-ef11-a2cb-00155d119747,Nuaimeya 2,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
a0373f08-cc75-ef11-a2cb-00155d119747,Dubai,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
a2373f08-cc75-ef11-a2cb-00155d119747,Rumaila 3,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
a4373f08-cc75-ef11-a2cb-00155d119747,Al Danah - Abu Dhabi,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
a6373f08-cc75-ef11-a2cb-00155d119747,Nuaimeya 1,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
aa373f08-cc75-ef11-a2cb-00155d119747,Liwara 2,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
ac373f08-cc75-ef11-a2cb-00155d119747,Rashideya 2,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
b0373f08-cc75-ef11-a2cb-00155d119747,Zorah,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
b2373f08-cc75-ef11-a2cb-00155d119747,Ajman Industrial 1,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
b6373f08-cc75-ef11-a2cb-00155d119747,Masfout,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
b8373f08-cc75-ef11-a2cb-00155d119747,Ajman Industrial 2,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
ba373f08-cc75-ef11-a2cb-00155d119747,Aamra,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
bc373f08-cc75-ef11-a2cb-00155d119747,Masfout 1,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
c2373f08-cc75-ef11-a2cb-00155d119747,Musherif,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
c4373f08-cc75-ef11-a2cb-00155d119747,Ajman,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
c8373f08-cc75-ef11-a2cb-00155d119747,Sofia,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
ca373f08-cc75-ef11-a2cb-00155d119747,jurf Industrial 3,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
86d14555-6484-ef11-a2cf-00155d119f38,Manama 8,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
7570ce41-6784-ef11-a2cf-00155d119f38,Industrial area - 3,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
0f9acee4-fad2-ef11-a2d0-00155d119f38,Al Ras - Dubai,United Arab Emirates,Ajman,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
