signal_id,project_name,location,signal_type,signal_strength,evidence_note,roi_band,risk_note
INV-0001,Dusit Thani,Muscat Bay,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 7.3%,availability risk
INV-0002,Mawjan,Waterfront District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 8.4%,price validation needed
INV-0003,Aqaar Commercial Boulevard,Commercial Boulevard,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 9.5%,service charge sensitivity
INV-0004,Aqaar Signature Villas,Garden District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 10.6%,tenant demand validation
INV-0005,Aqaar Marina Residences,Marina Quarter,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 7.7%,availability risk
INV-0006,Aqaar Garden Residences,Al Mouj Vicinity,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 8.8%,price validation needed
INV-0007,Dusit Thani,Qurum,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 9.9%,service charge sensitivity
INV-0008,Mawjan,Azaiba,capital_appreciation,high,"Market-informed seed signal for Mawjan in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 10.0%,tenant demand validation
INV-0009,Aqaar Commercial Boulevard,Madinat Al Sultan Qaboos,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 7.1%,availability risk
INV-0010,Aqaar Signature Villas,Seeb Growth Corridor,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 8.2%,price validation needed
INV-0011,Aqaar Marina Residences,Muscat Bay,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 9.3%,service charge sensitivity
INV-0012,Aqaar Garden Residences,Waterfront District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 10.4%,tenant demand validation
INV-0013,Dusit Thani,Commercial Boulevard,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 7.5%,availability risk
INV-0014,Mawjan,Garden District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 8.6%,price validation needed
INV-0015,Aqaar Commercial Boulevard,Marina Quarter,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 9.7%,service charge sensitivity
INV-0016,Aqaar Signature Villas,Al Mouj Vicinity,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 10.8%,tenant demand validation
INV-0017,Aqaar Marina Residences,Qurum,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 7.9%,availability risk
INV-0018,Aqaar Garden Residences,Azaiba,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 8.0%,price validation needed
INV-0019,Dusit Thani,Madinat Al Sultan Qaboos,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 9.1%,service charge sensitivity
INV-0020,Mawjan,Seeb Growth Corridor,capital_appreciation,high,"Market-informed seed signal for Mawjan in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 10.2%,tenant demand validation
INV-0021,Aqaar Commercial Boulevard,Muscat Bay,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 7.3%,availability risk
INV-0022,Aqaar Signature Villas,Waterfront District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 8.4%,price validation needed
INV-0023,Aqaar Marina Residences,Commercial Boulevard,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 9.5%,service charge sensitivity
INV-0024,Aqaar Garden Residences,Garden District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 10.6%,tenant demand validation
INV-0025,Dusit Thani,Marina Quarter,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 7.7%,availability risk
INV-0026,Mawjan,Al Mouj Vicinity,capital_appreciation,high,"Market-informed seed signal for Mawjan in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 8.8%,price validation needed
INV-0027,Aqaar Commercial Boulevard,Qurum,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 9.9%,service charge sensitivity
INV-0028,Aqaar Signature Villas,Azaiba,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 10.0%,tenant demand validation
INV-0029,Aqaar Marina Residences,Madinat Al Sultan Qaboos,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 7.1%,availability risk
INV-0030,Aqaar Garden Residences,Seeb Growth Corridor,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 8.2%,price validation needed
INV-0031,Dusit Thani,Muscat Bay,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 9.3%,service charge sensitivity
INV-0032,Mawjan,Waterfront District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 10.4%,tenant demand validation
INV-0033,Aqaar Commercial Boulevard,Commercial Boulevard,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 7.5%,availability risk
INV-0034,Aqaar Signature Villas,Garden District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 8.6%,price validation needed
INV-0035,Aqaar Marina Residences,Marina Quarter,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 9.7%,service charge sensitivity
INV-0036,Aqaar Garden Residences,Al Mouj Vicinity,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 10.8%,tenant demand validation
INV-0037,Dusit Thani,Qurum,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 7.9%,availability risk
INV-0038,Mawjan,Azaiba,capital_appreciation,high,"Market-informed seed signal for Mawjan in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 8.0%,price validation needed
INV-0039,Aqaar Commercial Boulevard,Madinat Al Sultan Qaboos,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 9.1%,service charge sensitivity
INV-0040,Aqaar Signature Villas,Seeb Growth Corridor,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 10.2%,tenant demand validation
INV-0041,Aqaar Marina Residences,Muscat Bay,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 7.3%,availability risk
INV-0042,Aqaar Garden Residences,Waterfront District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 8.4%,price validation needed
INV-0043,Dusit Thani,Commercial Boulevard,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 9.5%,service charge sensitivity
INV-0044,Mawjan,Garden District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 10.6%,tenant demand validation
INV-0045,Aqaar Commercial Boulevard,Marina Quarter,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 7.7%,availability risk
INV-0046,Aqaar Signature Villas,Al Mouj Vicinity,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 8.8%,price validation needed
INV-0047,Aqaar Marina Residences,Qurum,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 9.9%,service charge sensitivity
INV-0048,Aqaar Garden Residences,Azaiba,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 10.0%,tenant demand validation
INV-0049,Dusit Thani,Madinat Al Sultan Qaboos,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 7.1%,availability risk
INV-0050,Mawjan,Seeb Growth Corridor,capital_appreciation,high,"Market-informed seed signal for Mawjan in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 8.2%,price validation needed
INV-0051,Aqaar Commercial Boulevard,Muscat Bay,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 9.3%,service charge sensitivity
INV-0052,Aqaar Signature Villas,Waterfront District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 10.4%,tenant demand validation
INV-0053,Aqaar Marina Residences,Commercial Boulevard,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 7.5%,availability risk
INV-0054,Aqaar Garden Residences,Garden District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 8.6%,price validation needed
INV-0055,Dusit Thani,Marina Quarter,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 9.7%,service charge sensitivity
INV-0056,Mawjan,Al Mouj Vicinity,capital_appreciation,high,"Market-informed seed signal for Mawjan in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 10.8%,tenant demand validation
INV-0057,Aqaar Commercial Boulevard,Qurum,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 7.9%,availability risk
INV-0058,Aqaar Signature Villas,Azaiba,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 8.0%,price validation needed
INV-0059,Aqaar Marina Residences,Madinat Al Sultan Qaboos,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 9.1%,service charge sensitivity
INV-0060,Aqaar Garden Residences,Seeb Growth Corridor,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 10.2%,tenant demand validation
INV-0061,Dusit Thani,Muscat Bay,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 7.3%,availability risk
INV-0062,Mawjan,Waterfront District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 8.4%,price validation needed
INV-0063,Aqaar Commercial Boulevard,Commercial Boulevard,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 9.5%,service charge sensitivity
INV-0064,Aqaar Signature Villas,Garden District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 10.6%,tenant demand validation
INV-0065,Aqaar Marina Residences,Marina Quarter,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 7.7%,availability risk
INV-0066,Aqaar Garden Residences,Al Mouj Vicinity,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 8.8%,price validation needed
INV-0067,Dusit Thani,Qurum,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 9.9%,service charge sensitivity
INV-0068,Mawjan,Azaiba,capital_appreciation,high,"Market-informed seed signal for Mawjan in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 10.0%,tenant demand validation
INV-0069,Aqaar Commercial Boulevard,Madinat Al Sultan Qaboos,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 7.1%,availability risk
INV-0070,Aqaar Signature Villas,Seeb Growth Corridor,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 8.2%,price validation needed
INV-0071,Aqaar Marina Residences,Muscat Bay,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 9.3%,service charge sensitivity
INV-0072,Aqaar Garden Residences,Waterfront District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 10.4%,tenant demand validation
INV-0073,Dusit Thani,Commercial Boulevard,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 7.5%,availability risk
INV-0074,Mawjan,Garden District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 8.6%,price validation needed
INV-0075,Aqaar Commercial Boulevard,Marina Quarter,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 9.7%,service charge sensitivity
INV-0076,Aqaar Signature Villas,Al Mouj Vicinity,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 10.8%,tenant demand validation
INV-0077,Aqaar Marina Residences,Qurum,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 7.9%,availability risk
INV-0078,Aqaar Garden Residences,Azaiba,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 8.0%,price validation needed
INV-0079,Dusit Thani,Madinat Al Sultan Qaboos,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 9.1%,service charge sensitivity
INV-0080,Mawjan,Seeb Growth Corridor,capital_appreciation,high,"Market-informed seed signal for Mawjan in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 10.2%,tenant demand validation
INV-0081,Aqaar Commercial Boulevard,Muscat Bay,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 7.3%,availability risk
INV-0082,Aqaar Signature Villas,Waterfront District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 8.4%,price validation needed
INV-0083,Aqaar Marina Residences,Commercial Boulevard,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 9.5%,service charge sensitivity
INV-0084,Aqaar Garden Residences,Garden District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 10.6%,tenant demand validation
INV-0085,Dusit Thani,Marina Quarter,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 7.7%,availability risk
INV-0086,Mawjan,Al Mouj Vicinity,capital_appreciation,high,"Market-informed seed signal for Mawjan in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 8.8%,price validation needed
INV-0087,Aqaar Commercial Boulevard,Qurum,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 9.9%,service charge sensitivity
INV-0088,Aqaar Signature Villas,Azaiba,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 10.0%,tenant demand validation
INV-0089,Aqaar Marina Residences,Madinat Al Sultan Qaboos,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 7.1%,availability risk
INV-0090,Aqaar Garden Residences,Seeb Growth Corridor,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 8.2%,price validation needed
INV-0091,Dusit Thani,Muscat Bay,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 9.3%,service charge sensitivity
INV-0092,Mawjan,Waterfront District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 10.4%,tenant demand validation
INV-0093,Aqaar Commercial Boulevard,Commercial Boulevard,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 7.5%,availability risk
INV-0094,Aqaar Signature Villas,Garden District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 8.6%,price validation needed
INV-0095,Aqaar Marina Residences,Marina Quarter,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 9.7%,service charge sensitivity
INV-0096,Aqaar Garden Residences,Al Mouj Vicinity,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 10.8%,tenant demand validation
INV-0097,Dusit Thani,Qurum,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 7.9%,availability risk
INV-0098,Mawjan,Azaiba,capital_appreciation,high,"Market-informed seed signal for Mawjan in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 8.0%,price validation needed
INV-0099,Aqaar Commercial Boulevard,Madinat Al Sultan Qaboos,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 9.1%,service charge sensitivity
INV-0100,Aqaar Signature Villas,Seeb Growth Corridor,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 10.2%,tenant demand validation
INV-0101,Aqaar Marina Residences,Muscat Bay,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 7.3%,availability risk
INV-0102,Aqaar Garden Residences,Waterfront District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 8.4%,price validation needed
INV-0103,Dusit Thani,Commercial Boulevard,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 9.5%,service charge sensitivity
INV-0104,Mawjan,Garden District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 10.6%,tenant demand validation
INV-0105,Aqaar Commercial Boulevard,Marina Quarter,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 7.7%,availability risk
INV-0106,Aqaar Signature Villas,Al Mouj Vicinity,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 8.8%,price validation needed
INV-0107,Aqaar Marina Residences,Qurum,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 9.9%,service charge sensitivity
INV-0108,Aqaar Garden Residences,Azaiba,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 10.0%,tenant demand validation
INV-0109,Dusit Thani,Madinat Al Sultan Qaboos,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 7.1%,availability risk
