signal_id,project_name,location,signal_type,signal_strength,evidence_note,roi_band,risk_note
INV-0110,Mawjan,Seeb Growth Corridor,capital_appreciation,high,"Market-informed seed signal for Mawjan in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 8.2%,price validation needed
INV-0111,Aqaar Commercial Boulevard,Muscat Bay,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 9.3%,service charge sensitivity
INV-0112,Aqaar Signature Villas,Waterfront District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 10.4%,tenant demand validation
INV-0113,Aqaar Marina Residences,Commercial Boulevard,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 7.5%,availability risk
INV-0114,Aqaar Garden Residences,Garden District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 8.6%,price validation needed
INV-0115,Dusit Thani,Marina Quarter,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 9.7%,service charge sensitivity
INV-0116,Mawjan,Al Mouj Vicinity,capital_appreciation,high,"Market-informed seed signal for Mawjan in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 10.8%,tenant demand validation
INV-0117,Aqaar Commercial Boulevard,Qurum,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 7.9%,availability risk
INV-0118,Aqaar Signature Villas,Azaiba,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 8.0%,price validation needed
INV-0119,Aqaar Marina Residences,Madinat Al Sultan Qaboos,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 9.1%,service charge sensitivity
INV-0120,Aqaar Garden Residences,Seeb Growth Corridor,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 10.2%,tenant demand validation
INV-0121,Dusit Thani,Muscat Bay,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 7.3%,availability risk
INV-0122,Mawjan,Waterfront District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 8.4%,price validation needed
INV-0123,Aqaar Commercial Boulevard,Commercial Boulevard,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 9.5%,service charge sensitivity
INV-0124,Aqaar Signature Villas,Garden District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 10.6%,tenant demand validation
INV-0125,Aqaar Marina Residences,Marina Quarter,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 7.7%,availability risk
INV-0126,Aqaar Garden Residences,Al Mouj Vicinity,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 8.8%,price validation needed
INV-0127,Dusit Thani,Qurum,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 9.9%,service charge sensitivity
INV-0128,Mawjan,Azaiba,capital_appreciation,high,"Market-informed seed signal for Mawjan in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 10.0%,tenant demand validation
INV-0129,Aqaar Commercial Boulevard,Madinat Al Sultan Qaboos,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 7.1%,availability risk
INV-0130,Aqaar Signature Villas,Seeb Growth Corridor,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 8.2%,price validation needed
INV-0131,Aqaar Marina Residences,Muscat Bay,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 9.3%,service charge sensitivity
INV-0132,Aqaar Garden Residences,Waterfront District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 10.4%,tenant demand validation
INV-0133,Dusit Thani,Commercial Boulevard,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 7.5%,availability risk
INV-0134,Mawjan,Garden District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 8.6%,price validation needed
INV-0135,Aqaar Commercial Boulevard,Marina Quarter,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 9.7%,service charge sensitivity
INV-0136,Aqaar Signature Villas,Al Mouj Vicinity,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 10.8%,tenant demand validation
INV-0137,Aqaar Marina Residences,Qurum,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 7.9%,availability risk
INV-0138,Aqaar Garden Residences,Azaiba,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 8.0%,price validation needed
INV-0139,Dusit Thani,Madinat Al Sultan Qaboos,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 9.1%,service charge sensitivity
INV-0140,Mawjan,Seeb Growth Corridor,capital_appreciation,high,"Market-informed seed signal for Mawjan in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 10.2%,tenant demand validation
INV-0141,Aqaar Commercial Boulevard,Muscat Bay,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 7.3%,availability risk
INV-0142,Aqaar Signature Villas,Waterfront District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 8.4%,price validation needed
INV-0143,Aqaar Marina Residences,Commercial Boulevard,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 9.5%,service charge sensitivity
INV-0144,Aqaar Garden Residences,Garden District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 10.6%,tenant demand validation
INV-0145,Dusit Thani,Marina Quarter,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 7.7%,availability risk
INV-0146,Mawjan,Al Mouj Vicinity,capital_appreciation,high,"Market-informed seed signal for Mawjan in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 8.8%,price validation needed
INV-0147,Aqaar Commercial Boulevard,Qurum,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 9.9%,service charge sensitivity
INV-0148,Aqaar Signature Villas,Azaiba,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 10.0%,tenant demand validation
INV-0149,Aqaar Marina Residences,Madinat Al Sultan Qaboos,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 7.1%,availability risk
INV-0150,Aqaar Garden Residences,Seeb Growth Corridor,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 8.2%,price validation needed
INV-0151,Dusit Thani,Muscat Bay,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 9.3%,service charge sensitivity
INV-0152,Mawjan,Waterfront District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 10.4%,tenant demand validation
INV-0153,Aqaar Commercial Boulevard,Commercial Boulevard,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 7.5%,availability risk
INV-0154,Aqaar Signature Villas,Garden District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 8.6%,price validation needed
INV-0155,Aqaar Marina Residences,Marina Quarter,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 9.7%,service charge sensitivity
INV-0156,Aqaar Garden Residences,Al Mouj Vicinity,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 10.8%,tenant demand validation
INV-0157,Dusit Thani,Qurum,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 7.9%,availability risk
INV-0158,Mawjan,Azaiba,capital_appreciation,high,"Market-informed seed signal for Mawjan in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 8.0%,price validation needed
INV-0159,Aqaar Commercial Boulevard,Madinat Al Sultan Qaboos,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 9.1%,service charge sensitivity
INV-0160,Aqaar Signature Villas,Seeb Growth Corridor,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 10.2%,tenant demand validation
INV-0161,Aqaar Marina Residences,Muscat Bay,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 7.3%,availability risk
INV-0162,Aqaar Garden Residences,Waterfront District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 8.4%,price validation needed
INV-0163,Dusit Thani,Commercial Boulevard,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 9.5%,service charge sensitivity
INV-0164,Mawjan,Garden District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 10.6%,tenant demand validation
INV-0165,Aqaar Commercial Boulevard,Marina Quarter,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 7.7%,availability risk
INV-0166,Aqaar Signature Villas,Al Mouj Vicinity,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 8.8%,price validation needed
INV-0167,Aqaar Marina Residences,Qurum,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 9.9%,service charge sensitivity
INV-0168,Aqaar Garden Residences,Azaiba,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 10.0%,tenant demand validation
INV-0169,Dusit Thani,Madinat Al Sultan Qaboos,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 7.1%,availability risk
INV-0170,Mawjan,Seeb Growth Corridor,capital_appreciation,high,"Market-informed seed signal for Mawjan in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 8.2%,price validation needed
INV-0171,Aqaar Commercial Boulevard,Muscat Bay,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 9.3%,service charge sensitivity
INV-0172,Aqaar Signature Villas,Waterfront District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 10.4%,tenant demand validation
INV-0173,Aqaar Marina Residences,Commercial Boulevard,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 7.5%,availability risk
INV-0174,Aqaar Garden Residences,Garden District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 8.6%,price validation needed
INV-0175,Dusit Thani,Marina Quarter,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 9.7%,service charge sensitivity
INV-0176,Mawjan,Al Mouj Vicinity,capital_appreciation,high,"Market-informed seed signal for Mawjan in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 10.8%,tenant demand validation
INV-0177,Aqaar Commercial Boulevard,Qurum,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 7.9%,availability risk
INV-0178,Aqaar Signature Villas,Azaiba,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 8.0%,price validation needed
INV-0179,Aqaar Marina Residences,Madinat Al Sultan Qaboos,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 9.1%,service charge sensitivity
INV-0180,Aqaar Garden Residences,Seeb Growth Corridor,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 10.2%,tenant demand validation
INV-0181,Dusit Thani,Muscat Bay,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 7.3%,availability risk
INV-0182,Mawjan,Waterfront District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 8.4%,price validation needed
INV-0183,Aqaar Commercial Boulevard,Commercial Boulevard,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 9.5%,service charge sensitivity
INV-0184,Aqaar Signature Villas,Garden District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 10.6%,tenant demand validation
INV-0185,Aqaar Marina Residences,Marina Quarter,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 7.7%,availability risk
INV-0186,Aqaar Garden Residences,Al Mouj Vicinity,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 8.8%,price validation needed
INV-0187,Dusit Thani,Qurum,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 9.9%,service charge sensitivity
INV-0188,Mawjan,Azaiba,capital_appreciation,high,"Market-informed seed signal for Mawjan in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 10.0%,tenant demand validation
INV-0189,Aqaar Commercial Boulevard,Madinat Al Sultan Qaboos,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 7.1%,availability risk
INV-0190,Aqaar Signature Villas,Seeb Growth Corridor,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 8.2%,price validation needed
INV-0191,Aqaar Marina Residences,Muscat Bay,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 9.3%,service charge sensitivity
INV-0192,Aqaar Garden Residences,Waterfront District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 10.4%,tenant demand validation
INV-0193,Dusit Thani,Commercial Boulevard,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 7.5%,availability risk
INV-0194,Mawjan,Garden District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 8.6%,price validation needed
INV-0195,Aqaar Commercial Boulevard,Marina Quarter,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 9.7%,service charge sensitivity
INV-0196,Aqaar Signature Villas,Al Mouj Vicinity,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 10.8%,tenant demand validation
INV-0197,Aqaar Marina Residences,Qurum,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 7.9%,availability risk
INV-0198,Aqaar Garden Residences,Azaiba,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 8.0%,price validation needed
INV-0199,Dusit Thani,Madinat Al Sultan Qaboos,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 9.1%,service charge sensitivity
INV-0200,Mawjan,Seeb Growth Corridor,capital_appreciation,high,"Market-informed seed signal for Mawjan in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 10.2%,tenant demand validation
INV-0201,Aqaar Commercial Boulevard,Muscat Bay,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 7.3%,availability risk
INV-0202,Aqaar Signature Villas,Waterfront District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 8.4%,price validation needed
INV-0203,Aqaar Marina Residences,Commercial Boulevard,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 9.5%,service charge sensitivity
INV-0204,Aqaar Garden Residences,Garden District,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 10.6%,tenant demand validation
INV-0205,Dusit Thani,Marina Quarter,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 7.7%,availability risk
INV-0206,Mawjan,Al Mouj Vicinity,capital_appreciation,high,"Market-informed seed signal for Mawjan in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 8.8%,price validation needed
INV-0207,Aqaar Commercial Boulevard,Qurum,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 9.9%,service charge sensitivity
INV-0208,Aqaar Signature Villas,Azaiba,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 10.0%,tenant demand validation
INV-0209,Aqaar Marina Residences,Madinat Al Sultan Qaboos,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 7.1%,availability risk
INV-0210,Aqaar Garden Residences,Seeb Growth Corridor,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 8.2%,price validation needed
INV-0211,Dusit Thani,Muscat Bay,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Muscat Bay. Replace with CRM, transaction, and market data when available.",5.0% - 9.3%,service charge sensitivity
INV-0212,Mawjan,Waterfront District,capital_appreciation,high,"Market-informed seed signal for Mawjan in Waterfront District. Replace with CRM, transaction, and market data when available.",6.1% - 10.4%,tenant demand validation
INV-0213,Aqaar Commercial Boulevard,Commercial Boulevard,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Commercial Boulevard. Replace with CRM, transaction, and market data when available.",7.2% - 7.5%,availability risk
INV-0214,Aqaar Signature Villas,Garden District,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Garden District. Replace with CRM, transaction, and market data when available.",8.3% - 8.6%,price validation needed
INV-0215,Aqaar Marina Residences,Marina Quarter,tourism_growth,high,"Market-informed seed signal for Aqaar Marina Residences in Marina Quarter. Replace with CRM, transaction, and market data when available.",9.4% - 9.7%,service charge sensitivity
INV-0216,Aqaar Garden Residences,Al Mouj Vicinity,commercial_footfall,very_high,"Market-informed seed signal for Aqaar Garden Residences in Al Mouj Vicinity. Replace with CRM, transaction, and market data when available.",5.5% - 10.8%,tenant demand validation
INV-0217,Dusit Thani,Qurum,rental_demand,medium,"Market-informed seed signal for Dusit Thani in Qurum. Replace with CRM, transaction, and market data when available.",6.6% - 7.9%,availability risk
INV-0218,Mawjan,Azaiba,capital_appreciation,high,"Market-informed seed signal for Mawjan in Azaiba. Replace with CRM, transaction, and market data when available.",7.7% - 8.0%,price validation needed
INV-0219,Aqaar Commercial Boulevard,Madinat Al Sultan Qaboos,limited_supply,very_high,"Market-informed seed signal for Aqaar Commercial Boulevard in Madinat Al Sultan Qaboos. Replace with CRM, transaction, and market data when available.",8.8% - 9.1%,service charge sensitivity
INV-0220,Aqaar Signature Villas,Seeb Growth Corridor,brand_premium,medium,"Market-informed seed signal for Aqaar Signature Villas in Seeb Growth Corridor. Replace with CRM, transaction, and market data when available.",9.9% - 10.2%,tenant demand validation
