property_type_id,property_type,category,typical_buyer,min_budget_omr,max_budget_omr,qualification_question
PTY-0001,Studio Apartment,residential,First Time Buyer,60000,180000,"May I know whether you prefer studio apartment options for residence, rental income, or long-term investment?"
PTY-0002,One Bedroom Apartment,commercial,Luxury Buyer,69000,204000,"May I know whether you prefer one bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0003,Two Bedroom Apartment,mixed_use,Investor,78000,228000,"May I know whether you prefer two bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0004,Three Bedroom Apartment,residential,Commercial Buyer,87000,252000,"May I know whether you prefer three bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0005,Penthouse,commercial,Rental Seeker,96000,276000,"May I know whether you prefer penthouse options for residence, rental income, or long-term investment?"
PTY-0006,Townhouse,mixed_use,Foreign Investor,105000,300000,"May I know whether you prefer townhouse options for residence, rental income, or long-term investment?"
PTY-0007,Villa,residential,First Time Buyer,114000,324000,"May I know whether you prefer villa options for residence, rental income, or long-term investment?"
PTY-0008,Branded Residence,commercial,Luxury Buyer,123000,348000,"May I know whether you prefer branded residence options for residence, rental income, or long-term investment?"
PTY-0009,Serviced Apartment,mixed_use,Investor,132000,372000,"May I know whether you prefer serviced apartment options for residence, rental income, or long-term investment?"
PTY-0010,Retail Unit,residential,Commercial Buyer,141000,396000,"May I know whether you prefer retail unit options for residence, rental income, or long-term investment?"
PTY-0011,Office Suite,commercial,Rental Seeker,150000,420000,"May I know whether you prefer office suite options for residence, rental income, or long-term investment?"
PTY-0012,Commercial Showroom,mixed_use,Foreign Investor,159000,444000,"May I know whether you prefer commercial showroom options for residence, rental income, or long-term investment?"
PTY-0013,Studio Apartment Variant 1,residential,First Time Buyer,168000,468000,"May I know whether you prefer studio apartment options for residence, rental income, or long-term investment?"
PTY-0014,One Bedroom Apartment Variant 1,commercial,Luxury Buyer,177000,492000,"May I know whether you prefer one bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0015,Two Bedroom Apartment Variant 1,mixed_use,Investor,186000,516000,"May I know whether you prefer two bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0016,Three Bedroom Apartment Variant 1,residential,Commercial Buyer,195000,540000,"May I know whether you prefer three bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0017,Penthouse Variant 1,commercial,Rental Seeker,204000,564000,"May I know whether you prefer penthouse options for residence, rental income, or long-term investment?"
PTY-0018,Townhouse Variant 1,mixed_use,Foreign Investor,213000,588000,"May I know whether you prefer townhouse options for residence, rental income, or long-term investment?"
PTY-0019,Villa Variant 1,residential,First Time Buyer,222000,612000,"May I know whether you prefer villa options for residence, rental income, or long-term investment?"
PTY-0020,Branded Residence Variant 1,commercial,Luxury Buyer,231000,636000,"May I know whether you prefer branded residence options for residence, rental income, or long-term investment?"
PTY-0021,Serviced Apartment Variant 1,mixed_use,Investor,60000,660000,"May I know whether you prefer serviced apartment options for residence, rental income, or long-term investment?"
PTY-0022,Retail Unit Variant 1,residential,Commercial Buyer,69000,684000,"May I know whether you prefer retail unit options for residence, rental income, or long-term investment?"
PTY-0023,Office Suite Variant 1,commercial,Rental Seeker,78000,708000,"May I know whether you prefer office suite options for residence, rental income, or long-term investment?"
PTY-0024,Commercial Showroom Variant 1,mixed_use,Foreign Investor,87000,732000,"May I know whether you prefer commercial showroom options for residence, rental income, or long-term investment?"
PTY-0025,Studio Apartment Variant 2,residential,First Time Buyer,96000,756000,"May I know whether you prefer studio apartment options for residence, rental income, or long-term investment?"
PTY-0026,One Bedroom Apartment Variant 2,commercial,Luxury Buyer,105000,780000,"May I know whether you prefer one bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0027,Two Bedroom Apartment Variant 2,mixed_use,Investor,114000,804000,"May I know whether you prefer two bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0028,Three Bedroom Apartment Variant 2,residential,Commercial Buyer,123000,828000,"May I know whether you prefer three bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0029,Penthouse Variant 2,commercial,Rental Seeker,132000,180000,"May I know whether you prefer penthouse options for residence, rental income, or long-term investment?"
PTY-0030,Townhouse Variant 2,mixed_use,Foreign Investor,141000,204000,"May I know whether you prefer townhouse options for residence, rental income, or long-term investment?"
PTY-0031,Villa Variant 2,residential,First Time Buyer,150000,228000,"May I know whether you prefer villa options for residence, rental income, or long-term investment?"
PTY-0032,Branded Residence Variant 2,commercial,Luxury Buyer,159000,252000,"May I know whether you prefer branded residence options for residence, rental income, or long-term investment?"
PTY-0033,Serviced Apartment Variant 2,mixed_use,Investor,168000,276000,"May I know whether you prefer serviced apartment options for residence, rental income, or long-term investment?"
PTY-0034,Retail Unit Variant 2,residential,Commercial Buyer,177000,300000,"May I know whether you prefer retail unit options for residence, rental income, or long-term investment?"
PTY-0035,Office Suite Variant 2,commercial,Rental Seeker,186000,324000,"May I know whether you prefer office suite options for residence, rental income, or long-term investment?"
PTY-0036,Commercial Showroom Variant 2,mixed_use,Foreign Investor,195000,348000,"May I know whether you prefer commercial showroom options for residence, rental income, or long-term investment?"
PTY-0037,Studio Apartment Variant 3,residential,First Time Buyer,204000,372000,"May I know whether you prefer studio apartment options for residence, rental income, or long-term investment?"
PTY-0038,One Bedroom Apartment Variant 3,commercial,Luxury Buyer,213000,396000,"May I know whether you prefer one bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0039,Two Bedroom Apartment Variant 3,mixed_use,Investor,222000,420000,"May I know whether you prefer two bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0040,Three Bedroom Apartment Variant 3,residential,Commercial Buyer,231000,444000,"May I know whether you prefer three bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0041,Penthouse Variant 3,commercial,Rental Seeker,60000,468000,"May I know whether you prefer penthouse options for residence, rental income, or long-term investment?"
PTY-0042,Townhouse Variant 3,mixed_use,Foreign Investor,69000,492000,"May I know whether you prefer townhouse options for residence, rental income, or long-term investment?"
PTY-0043,Villa Variant 3,residential,First Time Buyer,78000,516000,"May I know whether you prefer villa options for residence, rental income, or long-term investment?"
PTY-0044,Branded Residence Variant 3,commercial,Luxury Buyer,87000,540000,"May I know whether you prefer branded residence options for residence, rental income, or long-term investment?"
PTY-0045,Serviced Apartment Variant 3,mixed_use,Investor,96000,564000,"May I know whether you prefer serviced apartment options for residence, rental income, or long-term investment?"
PTY-0046,Retail Unit Variant 3,residential,Commercial Buyer,105000,588000,"May I know whether you prefer retail unit options for residence, rental income, or long-term investment?"
PTY-0047,Office Suite Variant 3,commercial,Rental Seeker,114000,612000,"May I know whether you prefer office suite options for residence, rental income, or long-term investment?"
PTY-0048,Commercial Showroom Variant 3,mixed_use,Foreign Investor,123000,636000,"May I know whether you prefer commercial showroom options for residence, rental income, or long-term investment?"
PTY-0049,Studio Apartment Variant 4,residential,First Time Buyer,132000,660000,"May I know whether you prefer studio apartment options for residence, rental income, or long-term investment?"
PTY-0050,One Bedroom Apartment Variant 4,commercial,Luxury Buyer,141000,684000,"May I know whether you prefer one bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0051,Two Bedroom Apartment Variant 4,mixed_use,Investor,150000,708000,"May I know whether you prefer two bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0052,Three Bedroom Apartment Variant 4,residential,Commercial Buyer,159000,732000,"May I know whether you prefer three bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0053,Penthouse Variant 4,commercial,Rental Seeker,168000,756000,"May I know whether you prefer penthouse options for residence, rental income, or long-term investment?"
PTY-0054,Townhouse Variant 4,mixed_use,Foreign Investor,177000,780000,"May I know whether you prefer townhouse options for residence, rental income, or long-term investment?"
PTY-0055,Villa Variant 4,residential,First Time Buyer,186000,804000,"May I know whether you prefer villa options for residence, rental income, or long-term investment?"
PTY-0056,Branded Residence Variant 4,commercial,Luxury Buyer,195000,828000,"May I know whether you prefer branded residence options for residence, rental income, or long-term investment?"
PTY-0057,Serviced Apartment Variant 4,mixed_use,Investor,204000,180000,"May I know whether you prefer serviced apartment options for residence, rental income, or long-term investment?"
PTY-0058,Retail Unit Variant 4,residential,Commercial Buyer,213000,204000,"May I know whether you prefer retail unit options for residence, rental income, or long-term investment?"
PTY-0059,Office Suite Variant 4,commercial,Rental Seeker,222000,228000,"May I know whether you prefer office suite options for residence, rental income, or long-term investment?"
PTY-0060,Commercial Showroom Variant 4,mixed_use,Foreign Investor,231000,252000,"May I know whether you prefer commercial showroom options for residence, rental income, or long-term investment?"
PTY-0061,Studio Apartment Variant 5,residential,First Time Buyer,60000,276000,"May I know whether you prefer studio apartment options for residence, rental income, or long-term investment?"
PTY-0062,One Bedroom Apartment Variant 5,commercial,Luxury Buyer,69000,300000,"May I know whether you prefer one bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0063,Two Bedroom Apartment Variant 5,mixed_use,Investor,78000,324000,"May I know whether you prefer two bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0064,Three Bedroom Apartment Variant 5,residential,Commercial Buyer,87000,348000,"May I know whether you prefer three bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0065,Penthouse Variant 5,commercial,Rental Seeker,96000,372000,"May I know whether you prefer penthouse options for residence, rental income, or long-term investment?"
PTY-0066,Townhouse Variant 5,mixed_use,Foreign Investor,105000,396000,"May I know whether you prefer townhouse options for residence, rental income, or long-term investment?"
PTY-0067,Villa Variant 5,residential,First Time Buyer,114000,420000,"May I know whether you prefer villa options for residence, rental income, or long-term investment?"
PTY-0068,Branded Residence Variant 5,commercial,Luxury Buyer,123000,444000,"May I know whether you prefer branded residence options for residence, rental income, or long-term investment?"
PTY-0069,Serviced Apartment Variant 5,mixed_use,Investor,132000,468000,"May I know whether you prefer serviced apartment options for residence, rental income, or long-term investment?"
PTY-0070,Retail Unit Variant 5,residential,Commercial Buyer,141000,492000,"May I know whether you prefer retail unit options for residence, rental income, or long-term investment?"
PTY-0071,Office Suite Variant 5,commercial,Rental Seeker,150000,516000,"May I know whether you prefer office suite options for residence, rental income, or long-term investment?"
PTY-0072,Commercial Showroom Variant 5,mixed_use,Foreign Investor,159000,540000,"May I know whether you prefer commercial showroom options for residence, rental income, or long-term investment?"
PTY-0073,Studio Apartment Variant 6,residential,First Time Buyer,168000,564000,"May I know whether you prefer studio apartment options for residence, rental income, or long-term investment?"
PTY-0074,One Bedroom Apartment Variant 6,commercial,Luxury Buyer,177000,588000,"May I know whether you prefer one bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0075,Two Bedroom Apartment Variant 6,mixed_use,Investor,186000,612000,"May I know whether you prefer two bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0076,Three Bedroom Apartment Variant 6,residential,Commercial Buyer,195000,636000,"May I know whether you prefer three bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0077,Penthouse Variant 6,commercial,Rental Seeker,204000,660000,"May I know whether you prefer penthouse options for residence, rental income, or long-term investment?"
PTY-0078,Townhouse Variant 6,mixed_use,Foreign Investor,213000,684000,"May I know whether you prefer townhouse options for residence, rental income, or long-term investment?"
PTY-0079,Villa Variant 6,residential,First Time Buyer,222000,708000,"May I know whether you prefer villa options for residence, rental income, or long-term investment?"
PTY-0080,Branded Residence Variant 6,commercial,Luxury Buyer,231000,732000,"May I know whether you prefer branded residence options for residence, rental income, or long-term investment?"
